GEOID,NAME,POPULATION
42095,"Northampton County, Pennsylvania",313628
42097,"Northumberland County, Pennsylvania",91266
42101,"Philadelphia County, Pennsylvania",1576251
42107,"Schuylkill County, Pennsylvania",143264
42111,"Somerset County, Pennsylvania",73627
42125,"Washington County, Pennsylvania",209470
42129,"Westmoreland County, Pennsylvania",353057
42133,"York County, Pennsylvania",458696
44003,"Kent County, Rhode Island",170715
44005,"Newport County, Rhode Island",85264
44007,"Providence County, Rhode Island",658221
44009,"Washington County, Rhode Island",130592
45003,"Aiken County, South Carolina",170776
45007,"Anderson County, South Carolina",206908
45013,"Beaufort County, South Carolina",191748
45015,"Berkeley County, South Carolina",236701
45019,"Charleston County, South Carolina",413024
45035,"Dorchester County, South Carolina",163327
45041,"Florence County, South Carolina",136504
45045,"Greenville County, South Carolina",533834
45047,"Greenwood County, South Carolina",69241
45051,"Horry County, South Carolina",365579
45055,"Kershaw County, South Carolina",66130
45057,"Lancaster County, South Carolina",100336
45059,"Laurens County, South Carolina",67803
45063,"Lexington County, South Carolina",300137
45073,"Oconee County, South Carolina",79203
45075,"Orangeburg County, South Carolina",82962
45077,"Pickens County, South Carolina",132229
45079,"Richland County, South Carolina",418307
45083,"Spartanburg County, South Carolina",335864
45085,"Sumter County, South Carolina",104758
45091,"York County, South Carolina",288595
46083,"Lincoln County, South Dakota",67870
46099,"Minnehaha County, South Dakota",199685
46103,"Pennington County, South Dakota",111806
47001,"Anderson County, Tennessee",77576
47009,"Blount County, Tennessee",137605
47011,"Bradley County, Tennessee",110162
47037,"Davidson County, Tennessee",703953
47059,"Greene County, Tennessee",70621
47065,"Hamilton County, Tennessee",369135
47093,"Knox County, Tennessee",486677
47113,"Madison County, Tennessee",98775
47119,"Maury County, Tennessee",104760
47125,"Montgomery County, Tennessee",227900
47141,"Putnam County, Tennessee",81188
47147,"Robertson County, Tennessee",74098
47149,"Rutherford County, Tennessee",352182
47155,"Sevier County, Tennessee",99517
47157,"Shelby County, Tennessee",924454
47163,"Sullivan County, Tennessee",159265
47165,"Sumner County, Tennessee",200557
47179,"Washington County, Tennessee",134236
47187,"Williamson County, Tennessee",255735
47189,"Wilson County, Tennessee",151917
48005,"Angelina County, Texas",86506
